Frequency,Measured Frequency,Percentage Error
1.006,1.0,0.5964214711729627
2.01,2.0,0.4975124378109347
3.03,3.0,0.9900990099009837
4.02,4.0,0.4975124378109347
5.03,5.0,0.5964214711729672
6.03,6.0,0.49751243781094934
7.04,7.0,0.5681818181818187
8.04,8.0,0.4975124378109347
9.05,9.0,0.5524861878453117
10.05,10.0,0.4975124378109523
11.06,11.0,0.5424954792043445
12.06,12.0,0.49751243781094934
13.07,13.0,0.5355776587605224
14.07,14.0,0.4975124378109473
15.075,15.0,0.49751243781094057
16.078,16.0,0.48513496703569725
17.088,17.0,0.5149812734082453
18.089,18.0,0.49201171982972325
19.096,19.0,0.5027230833682451
20.099,20.0,0.4925618189959709
21.11,21.0,0.5210800568450944
22.12,22.0,0.5424954792043445
23.118,23.0,0.5104247772298579
24.13,24.0,0.5387484459179404
25.13,25.0,0.5173099880620733
26.13,26.0,0.49751243781094145
27.14,27.0,0.515843773028742
28.14,28.0,0.4975124378109473
29.15,29.0,0.5145797598627739
30.16,30.0,0.5305039787798413
31.16,30.0,3.7227214377406934
32.17,32.0,0.5284426484302197
33.17,33.0,0.5125113053964476
34.18,34.0,0.526623756582796
35.18,35.0,0.5116543490619663
36.181,36.0,0.5002625687515475
37.19,37.0,0.5108900242000477
38.193,38.0,0.5053282015028876
39.2,39.0,0.5102040816326603
40.2,40.0,0.4975124378109523
41.3,41.0,0.7263922518159738
42.3,42.0,0.7092198581560216
43.3,43.0,0.6928406466512637
44.3,44.0,0.677200902934531
45.3,45.0,0.6622516556291328
46.3,46.0,0.6479481641468622
47.3,47.0,0.6342494714587678
48.3,48.0,0.6211180124223544
49.3,49.0,0.6085192697768705
50.3,50.0,0.5964214711729565
51.3,51.0,0.5847953216374214
52.3,52.0,0.5736137667303961
53.3,53.0,0.5628517823639722
54.3,54.0,0.5524861878452987
55.3,55.0,0.5424954792043348
56.3,56.0,0.5328596802841868
57.3,57.0,0.5235602094240789
58.3,58.0,0.5145797598627739
59.3,59.0,0.5059021922428283
60.3,60.0,0.49751243781094057
61.4,61.0,0.6514657980456003
62.4,62.0,0.6410256410256387
63.4,63.0,0.6309148264984206
64.4,64.0,0.6211180124223691
65.4,65.0,0.6116207951070424
66.4,66.0,0.6024096385542254
67.4,67.0,0.5934718100890292
68.4,68.0,0.5847953216374352
69.4,69.0,0.5763688760806998
70.4,70.0,0.5681818181818262
71.4,71.0,0.5602240896358622
72.4,72.0,0.5524861878453117
73.4,73.0,0.5449591280654028
74.4,74.0,0.5376344086021582
75.4,75.0,0.5305039787798483
76.4,76.0,0.5235602094240912
77.4,77.0,0.5167958656330822
78.4,78.0,0.5102040816326603
79.5,79.0,0.628930817610063
80.5,80.0,0.6211180124223602
90.5,90.0,0.5524861878453038
100.5,100.0,0.4975124378109453
110.6,110.0,0.5424954792043348
120.6,120.0,0.49751243781094057
130.7,130.0,0.5355776587605116
140.7,140.0,0.4975124378109372
150.8,150.0,0.5305039787798483
160.8,160.0,0.4975124378109523
170.9,170.0,0.5266237565828003
180.9,180.0,0.4975124378109484
191.0,190.0,0.5235602094240838
201.1,200.0,0.5469915464942786
300.0,298.0,0.6666666666666667
400.0,398.0,0.5
500.0,497.0,0.6
600.0,597.0,0.5
700.0,696.0,0.5714285714285714
800.0,796.0,0.5
900.0,895.0,0.5555555555555556
1000.0,995.0,0.5
1500.0,1492.0,0.5333333333333333
2000.0,1990.0,0.5
2500.0,2487.0,0.52
3000.0,2986.0,0.46666666666666673
3500.0,3483.0,0.48571428571428565
4000.0,3981.0,0.475
4500.0,4479.0,0.46666666666666673
5000.0,4977.0,0.45999999999999996
5500.0,5475.0,0.45454545454545453
6000.0,5973.0,0.44999999999999996
6500.0,6470.0,0.46153846153846156
7000.0,6967.0,0.4714285714285714
8000.0,7964.0,0.44999999999999996
9000.0,8960.0,0.4444444444444444
10000.0,9960.0,0.4
20000.0,19233.0,3.8350000000000004
40000.0,39900.0,0.25
60000.0,59925.0,0.125
80000.0,80000.0,0.0
100000.0,100208.0,0.208
200000.0,201680.0,0.84
300000.0,303797.0,1.2656666666666667
400000.0,406779.0,1.69475
410000.0,417391.0,1.8026829268292683
420000.0,440366.0,4.849047619047619
440000.0,448598.0,1.954090909090909
450000.0,461538.0,2.564
470000.0,480000.0,2.127659574468085
500000.0,558139.0,11.6278
600000.0,303797.0,49.36716666666667
620000.0,558139.0,9.977580645161291
640000.0,324324.0,49.324374999999996
660000.0,347826.0,47.29909090909091
700000.0,355555.0,49.206428571428575
750000.0,380952.0,49.2064
800000.0,390243.0,51.219625
