Input,Expected,Measured,Error
1.006,1.006,1,0.596421471
2.01,2.01,2,0.497512438
3.03,3.03,3,0.99009901
4.02,4.02,4,0.497512438
5.03,5.03,5,0.596421471
6.03,6.03,6,0.497512438
7.04,7.04,7,0.568181818
8.04,8.04,8,0.497512438
9.05,9.05,9,0.552486188
10.05,10.05,10,0.497512438
11.06,11.06,11,0.542495479
12.06,12.06,12,0.497512438
13.07,13.07,13,0.535577659
14.07,14.07,14,0.497512438
15.075,15.075,15,0.497512438
16.078,16.078,16,0.485134967
17.088,17.088,17,0.514981273
18.089,18.089,18,0.49201172
19.096,19.096,19,0.502723083
20.099,20.099,20,0.492561819
21.11,21.11,21,0.521080057
22.12,22.12,22,0.542495479
23.118,23.118,23,0.510424777
24.13,24.13,24,0.538748446
25.13,25.13,25,0.517309988
26.13,26.13,26,0.497512438
27.14,27.14,27,0.515843773
28.14,28.14,28,0.497512438
29.15,29.15,29,0.51457976
30.16,30.16,30,0.530503979
31.16,31.16,30,3.722721438
32.17,32.17,32,0.528442648
33.17,33.17,33,0.512511305
34.18,34.18,34,0.526623757
35.18,35.18,35,0.511654349
36.181,36.181,36,0.500262569
37.19,37.19,37,0.510890024
38.193,38.193,38,0.505328202
39.2,39.2,39,0.510204082
40.2,40.2,40,0.497512438
41.3,41.3,41,0.726392252
42.3,42.3,42,0.709219858
43.3,43.3,43,0.692840647
44.3,44.3,44,0.677200903
45.3,45.3,45,0.662251656
46.3,46.3,46,0.647948164
47.3,47.3,47,0.634249471
48.3,48.3,48,0.621118012
49.3,49.3,49,0.60851927
50.3,50.3,50,0.596421471
51.3,51.3,51,0.584795322
52.3,52.3,52,0.573613767
53.3,53.3,53,0.562851782
54.3,54.3,54,0.552486188
55.3,55.3,55,0.542495479
56.3,56.3,56,0.53285968
57.3,57.3,57,0.523560209
58.3,58.3,58,0.51457976
59.3,59.3,59,0.505902192
60.3,60.3,60,0.497512438
61.4,61.4,61,0.651465798
62.4,62.4,62,0.641025641
63.4,63.4,63,0.630914826
64.4,64.4,64,0.621118012
65.4,65.4,65,0.611620795
66.4,66.4,66,0.602409639
67.4,67.4,67,0.59347181
68.4,68.4,68,0.584795322
69.4,69.4,69,0.576368876
70.4,70.4,70,0.568181818
71.4,71.4,71,0.56022409
72.4,72.4,72,0.552486188
73.4,73.4,73,0.544959128
74.4,74.4,74,0.537634409
75.4,75.4,75,0.530503979
76.4,76.4,76,0.523560209
77.4,77.4,77,0.516795866
78.4,78.4,78,0.510204082
79.5,79.5,79,0.628930818
80.5,80.5,80,0.621118012
90.5,90.5,90,0.552486188
100.5,100.5,100,0.497512438
110.6,110.6,110,0.542495479
120.6,120.6,120,0.497512438
130.7,130.7,130,0.535577659
140.7,140.7,140,0.497512438
150.8,150.8,150,0.530503979
160.8,160.8,160,0.497512438
170.9,170.9,170,0.526623757
180.9,180.9,180,0.497512438
191,191,190,0.523560209
201.1,201.1,200,0.546991546
300,300,298,0.666666667
400,400,398,0.5
500,500,497,0.6
600,600,597,0.5
700,700,696,0.571428571
800,800,796,0.5
900,900,895,0.555555556
1000,1000,995,0.5
1500,1500,1492,0.533333333
2000,2000,1990,0.5
2500,2500,2487,0.52
3000,3000,2986,0.466666667
3500,3500,3483,0.485714286
4000,4000,3981,0.475
4500,4500,4479,0.466666667
5000,5000,4977,0.46
5500,5500,5475,0.454545455
6000,6000,5973,0.45
6500,6500,6470,0.461538462
7000,7000,6967,0.471428571
8000,8000,7964,0.45
9000,9000,8960,0.444444444
10000,10000,9960,0.4
20000,20000,19233,3.835
40000,40000,39900,0.25
60000,60000,59925,0.125
80000,80000,80000,0
100000,100000,100208,0.208
200000,200000,201680,0.84
300000,300000,303797,1.265666667
400000,400000,406779,1.69475
410000,410000,417391,1.802682927
420000,420000,440366,4.849047619
440000,440000,448598,1.954090909
450000,450000,461538,2.564
470000,470000,480000,2.127659574
480000,480000,521739,8.695625
500000,500000,558139,11.6278
600000,600000,303797,49.36716667
620000,620000,558139,9.977580645
640000,640000,324324,49.324375
660000,660000,347826,47.29909091
700000,700000,355555,49.20642857
750000,750000,380952,49.2064
800000,800000,390243,51.219625
