Frequency,MeasuredFrequency,RelativeError
1,0
1.006,1
2.01,2
3.03,3
4.02,4
5.03,5
6.03,6
7.04,7
8.04,8
9.05,9
10.05,10
11.06,11
12.06,12
13.07,13
14.07,14
15.075,15
16.078,16
17.088,17
18.089,18
19.096,19
20.099,20
21.11,21
22.12,22
23.118,23
24.13,24
25.13,25
26.13,26
27.14,27
28.14,28
29.15,29
30.16,30
31.16,30
32.17,32
33.17,33
34.18,34
35.18,35
36.181,36
37.19,37
38.193,38
39.2,39
40.2,40
41.3,41
42.3,42
43.3,43
44.3,44
45.3,45
46.3,46
47.3,47
48.3,48
49.3,49
50.3,50
51.3,51
52.3,52
53.3,53
54.3,54
55.3,55
56.3,56
57.3,57
58.3,58
59.3,59
60.3,60
61.4,61
62.4,62
63.4,63
64.4,64
65.4,65
66.4,66
67.4,67
68.4,68
69.4,69
70.4,70
71.4,71
72.4,72
73.4,73
74.4,74
75.4,75
76.4,76
77.4,77
78.4,78
79.5,79
80.5,80
90.5,90
100.5,100
110.6,110
120.6,120
130.7,130
140.7,140
150.8,150
160.8,160
170.9,170
180.9,180
191,190
201.1,200
300,298
400,398
500,497
600,597
700,696
800,796
900,895
1000,995
1500,1492
2000,1990
2500,2487
3000,2986
3500,3483
4000,3981
4500,4479
5000,4977
5500,5475
6000,5973
6500,6470
7000,6967
8000,7964
9000,8960
10000,9960
20000,19233
40000,39900
60000,59925
80000,80000
100000,100208
200000,201680
300000,303797
400000,406779
410000,417391
420000,440366
440000,448598
450000,461538
470000,480000
500000,558139
600000,303797
620000,558139
640000,324324
660000,347826
700000,355555
750000,380952
800000,390243
